id,title,set_poster_by_filename,released,length,description
1,"Knight's Tale, A",knightstalea.jpg,2001-05-11,132,"Inspired by ""The Canterbury Tales,"" as well as the story of Ulrich von Lichtenstein, this is the story of William, a young squire with a gift for jousting. After his master dies suddenly, the squire hits the road with his cohorts Roland and Wat. On the journey, they stumble across an unknown writer, Chaucer. William, lacking a proper pedigree, convinces Chaucer to forge genealogy documents that will pass him off as a knight. With his newly-minted history in hand, the young man sets out to prove himself a worthy knight at the country's jousting competition, and finds romance along the way."
2,"Chasing Amy",chasingamy.jpg,1997-04-04,113,"Holden and Banky are two average guys who just need someone to bring out their hidden secrets. Enter Alyssa Jones and Hooper LaMont, two homosexuals who are slightly more experienced than the former two. Together, Hooper and Alyssa show Holden and Banky that being gay isn't as bad as they might think. Meanwhile, Holden develops an 'untainted' love for Alyssa, one which she finally sees in him as well, taking Holden on a journey through the complexities of love in the 90s. "
3,"Prince & Me, The",princeampmethe.jpg,2004-04-02,111,"At a Wisconsin university, local farmer's daughter Paige Morgan is intrigued by odd Danish exchange student Edvard 'Eddie', who is ignorant of many aspects of daily life, such as all domestic chores (no wonder, he's the incognito heir to the royal throne of Denmark, his roommate Soren a court minder) but well versed in other matters, such as Shakespeare. They become friends; invited -enouraged by her best friend- to the Moran family farm he makes a good impression on her parents and brothers and triumphs in the rustic lawnmower race. Only after some paparazzi track Edvard down to film them kissing and he has returned home because the king is gravely ill, Paige realizes he may be her true love, and flies to Copenhagen. Initially the court, especially queen Rosalind, opposes a commoner bride, but Edvard sticks to his guns before accepting to succeed his abdicating father, and Paige's public performance soon improves enough to win the royal family's blessing. Only once she realizes a queen's life means giving up her medical career and leaving the US forever, she seriously reconsiders..."
4,"Punch-Drunk Love",punch-drunklove.jpg,2002-11-01,95,"Barry Egan runs his own company, is continually hounded by his seven sisters, and every now and then gets a tiny bit violent. One odd morning a harmonium first appears in the street then a striking young lady asks for his help with her car. She re-appears a few days later and there seems to be a spark between them, but can they possibly cut through his seemingly over-complicated life and his somewhat unusual interpersonal skills?"
5,Envy,envy.jpg,2004-04-30,99,"Ben Stiller and Jack Black star as Tim and Nick, best friends, neighbors and co-workers, whose equal footing is suddenly tripped up when one of Nick's harebrained get-rich-quick schemes actually succeeds: Vapoorizer, a spray that literally makes dog poop, or any other kind for that matter, evaporate into thin air -- to where exactly is anyone's guess. Tim, who had scoffed at Nick's idea and passed on an opportunity to get in on the deal, can only watch as Nick's fortune -- and Tim's own envy -- grow to equally outrageous proportions. When the flames of jealousy are fanned by an oddball drifter (Walken) who imposes himself into the situation, Tim's life careens wildly out of control ... taking Nick's with it."
6,"Napoleon Dynamite",napoleondynamite.jpg,2004-08-27,82,"Napoleon Dynamite, a lovable, unpopular high school age guy who just wants to fit in. There's Deb, the girl who keeps showing up with her crap on the front porch. There's Kip, Napoleon's geek brother who's searching for love. There's Rico, Napoleon's jock uncle who just seems to want to ruin Napoleon's life. And then Pedro shows up. The new kid in town. He's from Mexico, he has an awesome bike, and he's the only kid in school with a mustache. When Napoleon befriends Pedro, and Pedro decides to run for class president, Napoleon gets his chance to show his stuff and prove that he's got nothing to prove."
7,"Ella Enchanted",ellaenchanted.jpg,2004-04-09,96,"Based on Gail Carson Levine's award winning novel, this is the story of Ella, a young woman who was given a ""gift"" of obedience by a fairy named Lucinda. Anything anyone tells her to do, she must obey. When her mother passes away, Ella is cared for by her thoughtless and greedy father who remarries a loathsome woman with two treacherous daughters. This modern-day, fantasy Cinderella features fairies, ogres and elves...as well as a hero in the guise of Prince Charmont, whom Ella falls in love with. Unlike Cinderella though, Ella must depend on herself and her intelligence to get her through her troubles and find Lucinda in order for her ""curse"" to be broken!"
8,Thirteen,thirteen.jpg,2003-01-17,100,"At the edge of adolescence, Tracy is a smart straight-A student--if not a little naive (it seems...she smokes and she cuts to alleviate the emotional pain she suffers from having a broken home and hating her mom's boyfriend, Brady.) When she befriends Evie, the most popular and beautiful girl in school, Evie leads Tracy down a path of sex, drugs and petty crime (like stealing money from purses and from stores). As Tracy transforms herself and her identity, her world becomes a boiling, emotional cauldron fueled by new tensions between her and her mother--as well as, teachers and old friends."
9,"Eternal Sunshine of the Spotless Mind",eternalsunshineofthespotlessmind.jpg,2004-03-19,108,"A man awakes disheveled; impulsively, he skips work, heading instead to the shore. On this chilly February day, a woman in orange, hair dyed blue, chats him up: she's Clementine, he's Joel, shy and sad; by day's end, he likes her. The next night she takes him to the frozen Charles River. After, as he drops her off, she asks to sleep at his place, and she runs up to get her toothbrush. Strange things occur: their meeting was not entirely chance, they have a history neither remembers. Our seeing how the lacunae came to be and their discovery of the memory loss take the rest of the film."
10,"Batman Begins",batmanbegins.jpg,2005-06-15,141,"In tone with the early ""Batman: Year One"" style comics. As a boy a young Bruce Wayne watched in horror as his millionaire parents were slain in front of his eyes, a trauma which led him to become obsessed with revenge but his chance is cruelly taken away from him by fate. After disappearing to the East where he seeks counsel with the dangerous but honorable ninja cult leader known as Ra's Al-Ghul, he returns to his now decaying Gotham City overrun by organized crime and dangerous individuals manipulating the system whilst the company he inherited is slowly being pulled out from under him. The discovery of a cave under his mansion, and a prototype armored suit leads him to take on a new persona, one which will strike fear into the hearts of men who do wrong - he becomes, Batman. In the new guise, and with the help of rising cop Jim Gordon, Batman sets out to take down the various nefarious schemes in motion by individuals such as mafia don Falcone, the twisted doctor/drug dealer Jonathan 'The Scarecrow' Crane, and a mysterious third party that is quite familiar with Wayne and waiting to strike when the time is right. Written by Dark HorizonsWhen fate prevents him from avenging the deaths of his parents, young Bruce Wayne flees to Asia where he seeks counsel from a dangerous ninja cult leader known as Ra's al Ghul. When he returns, Bruce finds that Gotham City has become overrun with crime and corruption, and that there are forces at work trying to remove him from his inherited place as the owner of Wayne Industries. Discovering a cave under Wayne Manor, Bruce assumes a new identity as a secret detective and guardian of the people of Gotham City against the criminals that plague them..."
11,"Girl Next Door, The",girlnextdoorthe.jpg,2004-03-27,108,"18-year-old Matthew Kidman is a straight 'A' over-achiever who feels that he has never really lived life till the fall. This is, until he meets 'the girl next door'. Danielle moves in next door, and Matthew thinks he's found the girl of his dreams. All is going well, until Matthew's sex-mad friend Eli reveals that Danielle is actually a ex-porn star. Matthew doesn't know how to take the news or how to treat Danielle, and things go from bad to worse when Danielle's former producer Kelly appears to take her back."
12,"Big Lebowski, The",biglebowskithe.jpg,1998-03-06,117,"Jeffrey ""The Dude"" Lebowski is the ultimate LA slacker, until one day his house is broken into and his rug is peed on by two angry gangsters who have mistaken him for Jeffrey Lebowski, the LA millionaire, whose wife owes some bad people some big money. The Dude becomes entangled in the plot when he goes to visit the real Lebowski in order to get some retribution for his soiled rug, and is recruited to be the liason between Lebowski and the captors of his now ""kidnapped"" wife."
13,"Resident Evil 2: Apocalypse",residentevil2apocalypse.jpg,2004-09-10,94,"Alice awakens from a terrible sleep to find her worst fears realized--the bloodthirsty Undead, which she and the now-annihilated squad of elite military fought to destroy, have been unleashed on the city that surrounds the secret facility of the Umbrella Corporation. Discovering she was an Umbrella experiment, Alice has been bio-genetically enhanced with new strengths, senses and dexterity--and she will need them. In the heart of the ravaged Raccoon City, a small group of uninfected people, including Jill Valentine, a recently demoted member of Umbrella Corp's elite Special Tactics and Rescue Services team, and S.T.A.R.S team leader Carlos Oliveira, fight for their lives against swarms of Undead and the deadlier and faster Lickers. Running out of luck and resources, the group is rescued by Alice, and they begin to wage an exhilarating battle to survive and escape before the Umbrella Corporation erases its experiment from the face of the earth. Their only hope lies somewhere within Raccoon City--Dr Charles Ashford, one of the leading scientists for the Umbrella Corporation, will help Alice and the others escape the city safely--if they find his daughter. Angie Ashford became separated from her father and now hides in fear. Alice, Jill and Carlos will have to fight their way through an army of Undead to save her. All the while, a secret weapon code-named Nemesis has been experimentally altered with greater modifications than Alice and has been programmed to track and destroy them. They will need all their strengths and skills to fight the battle of their lives against the mindless evil that has infected the city and the powerful forces that unleashed it on mankind."
14,"I. Robot",irobot.jpg,2004-07-16,115,"Set in a future Earth (2035 A.D.) where robots are common assistants and workers for their human owners, this is the story of ""robotophobic"" Chicago Police Detective Del Spooner's investigation into the murder of Dr. Alfred Lanning, who works at U.S. Robotics, in which a robot, Sonny , appears to be implicated, even though that would mean the robot had violated the Three Laws of Robotics, which is apparently impossible. It seems impossible because.. if robots can break those laws, there's nothing to stop them from taking over the world, as humans have grown to become completely dependent upon their robots. Or maybe... they already have? Aiding Spooner in his investigation is a psychologist, Dr. Susan Calvin, who specializes in the psyches of robots."
15,Hero,hero.jpg,2004-08-27,99,"In ancient times China was divided into seven kingdoms. Qin, the king of the western most province, is under permanent threat of assassination attempts. His greatest fears are the warriors ""Broken Sword"", ""Flying Snow"" and ""Sky"". One day one of the magistrates of his kingdom enters the palace, claims that he defeated all three of the emperor's adversaries and tells his story; how he beat ""Sky"" in a duel and used the love between ""Broken Sword"" and ""Flying Snow"" to subdue them."
16,"Boondock Saints, The",boondocksaintsthe.jpg,1999-11-19,110,"Irish brothers Connor & Murphy McManus live and work in Boston. Feeling that God's will to rid Earth from all human Evil was given to them as a mission, they set out to do their divine deed. A public outcry is never heard, and even FBI agent Paul Smecker, who follows their trace of bloodshed, admits that the boys are doing exactly what he secretly always has wished to happen. Risking their lives for their beliefs of Veritas (truth) and Aequitas (justice), the Boondock Saints are hyped by the public, for they are doing good, which only few dare to admit."
17,"National Lampoons Vegas Vacation",nationallampoonsvegasvacation.jpg,1997-02-14,93,"When Clark Griswold puts his mind to something, we soon realize he hasn't got one. Still, nothing stops him when the vacation bug hits. This time, he's chosen Las Vegas, the new family entertainment capital of America! Chevy Chase returns as bubbly, bumbling Clark in Vegas Vacation, a jokers-are-wild laugh fest including two other stars from past Vacations. Beverly D'Angelo is back as wife Ellen, doting on the guy she calls ""Sparky,"" and Randy Quaid again delights as grubby goof ball Cousin Eddie. Ethan Embry (That Thing You Do!) and screen-debuting Marisol Nichols are Griswold teens who love the round-the-clock nightlife - as long as they don't share it with Mom and Dad! From Seigfried and Roy's extravaganza to a Hoover Dam tour, from cruising to losing (Wallace Shawn as a shifty blackjack dealer) to amorous crooning (Wayne Newton falls for Ellen): watch Clark try to keep family and wallet together!"
18,Orgazmo,orgazmo.jpg,1998-10-23,94,"Joe Young was a simple young man trying to spread the word of the Book of Mormon when he picked the wrong house to preach at! The owner, a porn director named Maxxx Orbison, tells his henchmen to kill the guy at the door who interrupted their scene, but Joe fights off the guards with great skill, which impresses Maxxx so much that he offers Joe the lead role in the movie he's making at the moment: Orgazmo, which is about a sex superhero who fights crime with his Orgazmorator and ChodaBoy, his sidekick. Joe, against his beliefs, takes the job so that he can pay for the wedding he plans for he and his fiancee, who he doesn't tell about his risque new acting job. However, when the movie becomes an amazing hit just about everywhere and he finds out that Ben (ChodaBoy) has created a real Orgazmorator, Joe is in some serious hot water!"
