id,name,set_slide_image_right,set_slide_image_left,rage_id
1,"South Park","southpark-right.jpg","southpark-left.jpg",5266
2,"Doctor Who","doctorwho-right.jpg","doctorwho-left.jpg",3332
3,"Breaking Bad","breakingbad-right.jpg","breakingbad-left.jpg",18164
4,"Bob's Burgers","bobsburgers-right.jpg","bobsburgers-left.jpg",24607
5,"It's Always Sunny in Philadelphia","itsalwayssunnyinphiladelphia-right.jpg","itsalwayssunnyinphiladelphia-left.jpg",4004
6,"Workaholics","workaholics-right.jpg","workaholics-left.jpg",23658
7,"The League","theleague-right.jpg","theleague-left.jpg",24173
8,"Trailer Park Boys","trailerparkboys-right.jpg","trailerparkboys-left.jpg",6408
9,"Arrested Development","arresteddevelopment-right.jpg","arresteddevelopment-left.jpg",2649
12,"Better Off Ted","betteroffted-right.jpg","betteroffted-left.jpg",19907
15,"Rome","rome-right.jpg","rome-left.jpg",5047
16,"Reno 911","reno911-right.jpg","reno911-left.jpg",4979
17,"Community","community-right.jpg","community-left.jpg",22589
18,"The Sopranos","","",6206
19,"American Restoration","americanrestoration-right.jpg","americanrestoration-left.jpg",26839
20,"10 Items or Less","10itemsorless-right.jpg","10itemsorless-left.jpg",10418
21,"Beavis and Butt-Head","beavisandbutthead-right.jpg","beavisandbutthead-left.jpg",2746
22,"Comic Book Men","comicbookmen-right.jpg","comicbookmen-left.jpg",30604
23,"Family Guy","familyguy-right.jpg","familyguy-left.jpg",3506
24,"Kroll Show","","",28883
25,"Modern Family","","",22622
26,"Penn & Teller: Bullshit!","","",4795
27,"Torchwood","","",6993
28,"Code Monkeys","codemonkeys-right.jpg","codemonkeys-left.jpg",15029
29,"Pawn Stars","","",23281
30,"Firefly","","",3548
31,"Dexter","dexter-right.jpg","dexter-left.jpg",7926
32,"Flight of the Conchords","flightoftheconchords-right.jpg","flightoftheconchords-left.jpg",15415
33,"Game of Thrones","","",24493
34,"Louie","","",24504
35,"Seinfeld","","",5145
36,"Futurama","futurama-right.jpg","futurama-left.jpg",3628
37,"The IT Crowd","","",8044
38,"The Mighty Boosh","","",5981
39,"Home Movies","","",3888
40,"Parks and Recreation","","",21686
41,"Mythbusters","","",3605
42,"Wilfred","","",25709
43,"Rick and Morty","","",33381
44,"The Sarah Silverman Program","","",8065
45,"Shameless","","",25117
46,"Deadwood","","",3267
47,"Dilbert","","",3312
48,"Kings","","",18685
49,"Silicon Valley","","",33759
50,"Undergrads","","",6473
51,"TripTank","","",33263
52,"The Office","","",6061
